;SoC;Charge;Discharge;Energy prices;Cash flow
353;13.5;0.0;0.0;0.26;0.0
354;13.5;0.0;11.5;0.26703;3.070845
355;1.39473684210526;0.0;1.325;0.26141000000000003;0.34636825000000004
356;0.0;0.0;0.0;0.24362;0.0
357;0.0;0.0;0.0;0.22785;0.0
358;0.0;0.0;0.0;0.22266;0.0
359;0.0;0.0;11.5;0.217;2.4955
360;0.0;0.0;0.0;0.22591999999999998;0.0
361;0.0;0.0;0.0;0.216;0.0
362;0.0;0.0;0.0;0.20762;0.0
363;0.0;0.0;0.0;0.19722;0.0
364;0.0;2.71052631578947;0.0;0.18669999999999998;-0.506055263157894
365;2.575;11.5;0.0;0.1866;-2.1458999999999997
366;13.5;0.0;0.0;0.19801;0.0
367;13.5;0.0;0.0;0.20003;0.0
368;13.5;0.0;0.0;0.2;0.0
369;13.5;0.0;0.0;0.20486000000000001;0.0
370;13.5;0.0;0.0;0.2045;0.0
371;13.5;0.0;0.0;0.20443;0.0
372;13.5;0.0;0.0;0.20521;0.0
373;13.5;0.0;0.0;0.19502;0.0
374;13.5;0.0;0.0;0.19190000000000002;0.0
375;13.5;0.0;0.0;0.19691999999999998;0.0
376;13.5;0.0;0.0;0.20102;0.0
377;13.5;0.0;0.0;0.22287;0.0
378;13.5;0.0;1.325;0.25745;0.34112125
379;12.1052631578947;0.0;11.5;0.26536000000000004;3.0516400000000004
380;0.0;0.0;0.0;0.25712999999999997;0.0
381;0.0;0.0;0.0;0.2419;0.0
382;0.0;0.0;0.0;0.22852;0.0
383;0.0;0.0;11.5;0.206;2.3689999999999998
384;0.0;0.0;0.0;0.25253;0.0
385;0.0;0.0;0.0;0.24223;0.0
386;0.0;0.0;0.0;0.23225;0.0
387;0.0;2.71052631578947;0.0;0.21500999999999998;-0.5827902631578938
388;2.575;11.5;0.0;0.20955000000000001;-2.409825
389;13.5;0.0;0.0;0.22278;0.0
390;13.5;0.0;0.0;0.24993;0.0
391;13.5;0.0;1.325;0.29721;0.39380324999999994
392;12.1052631578947;0.0;0.0;0.29;0.0
393;12.1052631578947;0.0;11.5;0.30609;3.5200349999999996
394;0.0;0.0;0.0;0.28872000000000003;0.0
395;0.0;0.0;0.0;0.27294;0.0
396;0.0;0.0;0.0;0.27997000000000005;0.0
397;0.0;2.71052631578947;0.0;0.25546;-0.692431052631578
398;2.575;11.5;0.0;0.25364;-2.91686
399;13.5;0.0;0.0;0.25699;0.0
400;13.5;0.0;0.0;0.26473;0.0
401;13.5;0.0;0.0;0.27649;0.0
402;13.5;0.0;11.5;0.29902999999999996;3.4388449999999997
403;1.39473684210526;0.0;1.325;0.28869;0.38251425
404;0.0;0.0;0.0;0.27701;0.0
405;0.0;0.0;0.0;0.25764;0.0
406;0.0;0.0;0.0;0.24863;0.0
407;0.0;0.0;11.5;0.2296;2.6404
408;0.0;0.0;0.0;0.2139;0.0
409;0.0;0.0;0.0;0.20327;0.0
410;0.0;0.0;0.0;0.20048;0.0
411;0.0;2.71052631578947;0.0;0.19452;-0.5272515789473676
412;2.575;11.5;0.0;0.19399;-2.230885
413;13.5;0.0;0.0;0.205;0.0
414;13.5;0.0;0.0;0.2291;0.0
415;13.5;0.0;0.0;0.27405;0.0
416;13.5;0.0;11.5;0.2944;3.3856
417;1.39473684210526;0.0;1.325;0.29064;0.385098
418;0.0;0.0;0.0;0.2754;0.0
419;0.0;0.0;0.0;0.2651;0.0
420;0.0;0.0;0.0;0.25;0.0
421;0.0;2.71052631578947;0.0;0.24427000000000001;-0.6621002631578938
422;2.575;11.5;0.0;0.24302;-2.7947300000000004
423;13.5;0.0;0.0;0.24922;0.0
424;13.5;0.0;0.0;0.26;0.0
425;13.5;0.0;0.0;0.278;0.0
